link_code,sgg_cd,emd_cd,node_wkt,tp_br,tp_pk,tp_sw,link_id,type,sgg_nm,tp_in,tp_uw,node_id,tp_tn,tp_hw,emd_nm,node_code,end_node_id,link_wkt,link_len,tp_cw,strt_node_id
1111,1117000000,1117010200,,0,0,0,100664,LINK,⑹궛援,0,0,0,0,0,⑹궛2媛,,65654,"LINESTRING(126.98454615792072 37.54325595060638,126.9848855639185 37.54302594571314)",39.387,0,74806
1111,1117000000,1117012100,,0,0,0,113606,LINK,⑹궛援,0,0,0,0,0,⑸Ц,,157849,"LINESTRING(126.95955489597719 37.538537080522424,126.9594816994124 37.5386389803262)",13.029,0,157842
1111,1117000000,1117010200,,0,0,0,133209,LINK,⑹궛援,0,0,0,0,0,⑹궛2媛,,57921,"LINESTRING(126.97860377515975 37.5458586013857,126.97892871945184 37.545903269950124)",29.141,0,65227
1111,1117000000,1117012000,,0,0,0,255968,LINK,⑹궛援,0,0,0,0,0,꾩썝,,150460,"LINESTRING(126.95552040427599 37.53886151333957,126.95575484743455 37.539054605360455)",29.809,0,145953
1111,1117000000,1117010900,,0,0,0,133208,LINK,⑹궛援,0,0,0,0,0,泥뙆1媛,,163722,"LINESTRING(126.96930925806602 37.54855676653767,126.96949682107213 37.548502186167106,126.96963854177724 37.54869524505784,126.96963849893822 37.54880086105552)",54.188,0,163721
1111,1117000000,1117013000,,0,0,0,130910,LINK,⑹궛援,0,0,0,0,0,댄깭먮룞,,148876,"LINESTRING(126.9920301462688 37.535575532748325,126.99164518527378 37.5355847957581)",34.04,0,148921
1111,1117000000,1117013100,,0,0,0,268689,LINK,⑹궛援,0,0,0,0,0,쒕궓,,176584,"LINESTRING(126.99914275948812 37.536986235453554,126.99971797259562 37.53712907240474)",53.253,0,176582
1111,1117000000,1117013100,,0,0,0,109927,LINK,⑹궛援,0,0,0,0,0,쒕궓,,178475,"LINESTRING(127.00376460807617 37.53396279293737,127.00481119154502 37.53388933031045)",92.861,0,178801
1111,1117000000,1117013100,,0,0,0,264785,LINK,⑹궛援,0,0,0,0,0,쒕궓,,178814,"LINESTRING(127.00494526227172 37.531659042582525,127.0051304021711 37.531777884726736,127.00528747070881 37.531850835544375)",37.09,0,178823
1111,1117000000,1117011800,,0,0,0,117198,LINK,⑹궛援,0,0,0,0,0,먰슚濡4媛,,152694,"LINESTRING(126.95448748478368 37.53429724440738,126.9546369166977 37.53454842223208)",30.848,0,152696
1111,1117000000,1117013300,,0,0,0,257554,LINK,⑹궛援,0,0,0,0,0,쒕튃怨좊룞,,169546,"LINESTRING(126.99086242770167 37.521237584142604,126.99086493673221 37.52102735501823)",23.334,0,155682
1111,1117000000,1117010100,,0,0,0,130923,LINK,⑹궛援,0,0,0,0,0,꾩븫,,57801,"LINESTRING(126.97662825280338 37.54671867689647,126.97631721255941 37.5467015349614,126.97624747512481 37.54676557081063,126.97622055638575 37.54709435464528)",73.528,0,57800
1111,1117000000,1117013400,,0,0,0,257705,LINK,⑹궛援,0,0,0,0,0,二쇱꽦,,177888,"LINESTRING(126.99809740536426 37.52242453585596,126.99831010929613 37.522413244847215)",18.845,0,168525
1111,1117000000,1117012300,,0,0,0,102784,LINK,⑹궛援,0,0,0,0,0,좉퀎,,162855,"LINESTRING(126.96507041140794 37.53504317662062,126.9659268502664 37.53477698074485)",81.257,0,162854
1111,1117000000,1117013200,,0,0,0,268110,LINK,⑹궛援,0,0,0,0,0,숇튃怨좊룞,,168548,"LINESTRING(126.99533931045319 37.52302305410322,126.99566545248864 37.52313036182535)",31.193,0,168501
1111,1117000000,1117010500,,0,0,0,131008,LINK,⑹궛援,0,0,0,0,0,⑥쁺,,42667,"LINESTRING(126.97346140457039 37.54307330569508,126.97355661964309 37.54263809183461)",49.031,0,42666
1111,1117000000,1117010900,,0,0,0,103389,LINK,⑹궛援,0,0,0,0,0,泥뙆1媛,,63433,"LINESTRING(126.96454566004708 37.54890540063372,126.96462076125403 37.548794065119495)",14.026,0,63432
1111,1117000000,1117010800,,0,0,0,266517,LINK,⑹궛援,0,0,0,0,0,쒓퀎,,163147,"LINESTRING(126.96888027199438 37.5516702025605,126.96866879548148 37.55159409727722,126.96863812796835 37.55150989163096,126.96865521690525 37.55143384680844)",38.812,0,163129
1111,1117000000,1117013000,,0,0,0,134928,LINK,⑹궛援,0,0,0,0,0,댄깭먮룞,,143821,"LINESTRING(126.98731887055334 37.5369906836121,126.98711727530333 37.53701012018768,126.98714787046644 37.536713382982164,126.98706236207337 37.53662581086037)",63.304,0,143857
1111,1117000000,1117012900,,0,0,0,260970,LINK,⑹궛援,0,0,0,0,0,댁큿,,19575,"LINESTRING(126.97036163162312 37.52240490301689,126.97026607128417 37.52218479987695)",25.848,0,19569
1111,1117000000,1117012200,,0,0,0,113760,LINK,⑹궛援,0,0,0,0,0,臾몃같,,165311,"LINESTRING(126.97074954541031 37.53926344528951,126.97076023259969 37.53913638806161)",14.133,0,165320
